name,price_cur,price_prev
"Кекс ""Русский продукт"" Печем дома ванильный, 300г",84.99,
"Печенье злаковое ""Коломенский"", 240г",59.99,109.90
КОНФЕТЫ МЕРСИ АССОРТИ С КРЕМ.-ШОКОЛАД.НАЧ.210Г,299.90,549.90
"Вареники ""Сибирская коллекция"" с картофелем и грибной солянкой, замороженные, 500г",109.90,199.90
"Тесто дрожжевое ""Морозко"", замороженное, 400г",59.99,109.90
"Вареники ""Сибирская коллекция"" с картофелем и зеленью, 500г",109.90,199.90
"Шоколад ""Alpen Gold"" молочный с начинкой черника с йогуртом, 90г",49.99,89.99
"Шоколад ""Alpen Gold"" молочный, 90г",49.99,89.99
"Конфеты ""Красный Октябрь"" Цитрон, 250г",89.99,159.90
"Конфеты ""Яшкино"" Чио Рио",329.90,584.90
"Печенье-cэндвич ""Forsite"" сахарное с шоколадно-сливочным вкусом, 208г",49.99,89.99
"Печенье-cэндвич ""Forsite"" сахарное с шоколадно-ореховым вкусом, 208г",49.99,89.99
"Пельмени ""Котлетарь"" Татарские, 400г",49.99,89.99
"Пирог брауни ""Черемушки"" Соленая карамель, 380г",159.90,283.90
"Каша молочная ""Heinz"" Кукурузная, с 5 месяцев, 180г",99.99,179.90
"Моющее средство ""Уют"" Универсальное, 850мл",99.99,179.90
"Каша молочная ""ФрутоНяня"" Гречневая с черносливом, 200г",99.99,179.90
"Пицца ""La Trattoria"" 4 сыра, 335г",149.90,269.90
"Котлеты ""Домилле"" Сочные, 560г",149.90,269.90
"Конфеты ""Красный Октябрь"" Мишка Косолапый вафельные",799.90,1392.40
"Чебупицца ""Горячая штучка"" Пепперони, 250г",99.99,175.90
"Каша быстрого приготовления ""Быстров"" Брусника и мед, 40г",27.49,
"Крупа перловая ""Султан"", варочные пакетики, 800г",49.99,
"Чипсы кукурузно-рисовые ""Dr. Korner"" Корнерсы Паприка-чили, 50г",49.99,69.99
"Палочки кукурузные ""Кузя Лакомкин"" Банан, 100г",92.99,
"Колбаски ""Дымов"" со вкусом Хамона Пиколини, сырокопченые, 50г",89.99,
"Крупа пшено, 900г",29.99,
"Батончик протеиновый ""Snaq Fabriq"" Фисташка и карамель, 50г",79.99,99.99
"Чипсы кукурузно-рисовые ""Dr. Korner"" Корнерсы Сыр, 50г",49.99,69.99
"Крахмал ""Магета"" картофельный высший сорт, 200г",119.90,
"Сахар-песок ""Чайкофский"", 900г",114.90,
"Чипсы картофельные ""Easy Peasy"" Огурец malossol, 70г",79.99,109.90
"Чипсы из сушеных морских водорослей ""Naitori"" Нори со вкусом кимчи, 3г",59.99,
"Соль поваренная пищевая, помол №1, 1кг",10.99,
"Сухой завтрак ""Krosby"" Карамель-шоколад, 250г",129.90,174.90
"Мука ржаная ""Увелка"", 950г",64.99,
"Лапша быстрого приготовления ""Big Bon"" Wok Курица и соус терияки, 85г",49.99,69.99
"Семечки ""От Мартина"" подсолнечника отборные с морской солью, 200г",124.90,
"Лапша быстрого приготовления ""Доширак"" Квисти Курица, 70г",26.99,
"Разрыхлитель теста ""Dr.Bakers""/""Dr.Oetker"", 10г",10.99,
"Желтый полосатик ""Мореслав"", солено-сушеный, 35г",69.99,
"Конфеты ""Dolce Energy"" Курага в шоколаде",449.90,699.90
"Изделие хлебобулочное ""Сдобная особа"" Кремобон классический, 380г",179.90,269.90
"Конфеты ""Dolce Energy"" Чернослив в шоколаде",449.90,699.90
"Хлеб пшеничный ""Harry's"", 470г",93.99,
"Мороженое ""Свитлогорье"" Пломбир двухслойный ванильно-шоколадный, 15%, 500г",499.90,
"Печенье ""Кухмастер"" Тарталетки клубничные сдобное, 240г",99.99,
"Конфеты ""Насладжи"" Ассорти, 200г",89.99,129.90
"Конфеты ""Россия"" с вафлей и молочным шоколадом, 128г",89.99,199.90
"Мороженое ""Хуторок"" Пломбир ванильный, 420г",169.90,269.90
"Печенье сахарное ""Любятово"" Топленое молоко, 267г",59.99,86.99
"Шоколадные конфеты ""Акконд"" Отломи, 360г",199.90,299.90
"Конфеты ""Merci"" Ассорти шоколадные, 250г",299.90,549.90
"Шоколадные конфеты ""Рот Фронт"" Любимые с детства, 250г",169.90,249.90
"Мармелад ""Бон Пари"" Кислые Червячки жевательный, 75г",82.99,
"Хлеб ""Русский хлеб"" Боярский, нарезка, 380г",40.99,
"Хлеб ""Вкусно и просто"" Тостовый пшеничный, 320г",46.99,
"Шоколадный батончик ""BabyFox"" с молочной начинкой, 45г",32.99,
"Булочка ""Пекарня из Парижа"" Бриошь с кремом и изюмом, 100г",79.99,
"Новогодний подарок ""Milky Way"" Письмо Деду Морозу, 85г",49.99,199.90
"Батон ""Д"" нарезной, 380г",29.99,
"Горошек ""Globus"" зеленый, 425мл",79.99,109.90
"Горошек зеленый ""Первым делом"", 400г",38.99,
"Салат ""Д"" Морковь пикантная со спаржей, 350г",119.90,
"Горошек ""Bonduelle"" зеленый молодой, 425мл",173.90,
"Шампиньоны ""Lorado"", резаные, 425мл",109.90,
"Горошек ""Green Ray"" зеленый деликатесный, 400г",99.90,
"Грибы ""Хороший сезон"" Грузди соленые, 550мл",139.90,179.90
"Фасоль ""Heinz"" красная, 400г",119.90,
"Икра ""Угощение Славянки"" кабачковая, 545г",109.90,
"Салат ""Д"" Морковь пикантная, 350г",79.99,
"Кукуруза ""Green Ray"" Молочная, 340г",89.99,119.90
"Авокадо ""Хаас"" в упаковке, 2шт",199.90,
"Чеснок в упаковке, 1шт",49.99,
"Огурцы ""Первым Делом"" маринованные целые, 680г",93.99,
"Огурцы ""Круглое лето"" соленые бочковые, 900г",139.90,
"Кукуруза сладкая в початках варёная, 400г",139.90,
"Баклажаны ""Овощная семейка""/""Круглое Лето"" По-домашнему, 510г",107.90,
"Закуска ""Дядя Ваня"" Стокгольм, 460г",159.90,
"Оливки зеленые ""Premiere of Taste"", без косточек, 290г",149.90,
"Оливки ""Первым Делом"" без косточки, 280г",60.99,
"Стиральный порошок ""Losk"" Color для цветного белья автомат, 2,7кг",509.90,
"Средство для мытья посуды ""Haus Herz"" Глицерин и алоэ, 450мл",99.99,169.90
"Средство для мытья посуды ""Fairy"" Сочный лимон, 900мл",199.90,
"Средство для стирки ""Kattsu"" жидкое для цветного белья, 0,8л",149.90,
"Жидкость моющая ""Mr. Proper"" для полов и стен Лимон, 500мл",129.90,
"Таблетки для посудомоечной машины ""Finish"" Quantum, 36таблеток",899.90,1499.90
"Стиральный порошок ""Persil"" Color Свежесть от Vernel, 1,5кг",299.90,369.90
"Стиральный порошок ""Tide"" Альпийская свежесть, автомат, 2,5кг",379.90,499.90
"Жироудалитель ""Unicum"" Gold для плит и духовок, спрей, 500мл",189.90,369.90
"Крем чистящий ""Cif"" Active Лимон универсальный, 500мл",189.90,269.90
"Порошок для стирки ""Sorti"" Color Цветущий лен, автомат, 2,4кг",269.90,499.90
"Средство для туалета ""Harpic"" Power Plus, 700мл",199.90,259.90
"Очиститель ""Tiret"" для стиральных машин, 250мл",239.90,
"Таблетки для посудомоечной машины ""Finish"" Powerball All in 1 Max, 13шт",269.90,357.90
"Капсулы для стирки ""Losk"" Duo-Caps Color, 12шт",509.90,
"Средство для стирки ""Losk"" Activ Gel Горное озеро жидкое, 1,3л",399.90,509.90
"Средство для мытья посуды ""Synergetic"" Лимон, 1л",199.90,299.90
"Кондиционер для белья ""Vernel"" Ароматерапия Белый пион и масло хлопка, 0,91л",269.90,
"Пропитка ""Salton"" для обуви водоотталкивающая для кожи и замши, 300мл",219.90,299.90
"Губка для обуви ""Salton"" Волна для гладкой кожи в ассортименте, 1шт",89.99,
"Молоко ""Простоквашино"" пастеризованное 2,5%, 930мл",74.99,
"Масло сливочное ""Первым делом"", 72,5%, 200г",108.90,159.90
"Молоко сгущенное ""Алексеевское"", 8,5%, 360г",126.90,
"Мороженое ""Настоящий пломбир"" Супергигант, в вафельном стаканчике, 150г",119.90,
"Масло сливочное ""Вологодское лето"" Традиционное, 82,5%, 180г",189.90,
"Мороженое ""Monterra"" Кленовый сироп и грецкий орех, 480мл",299.90,699.90
"Молоко сгущенное ""Алексеевское"", цельное с сахаром, 8,5%, 100г",44.99,59.99
"Творог ""Вкуснотеево"", 5%, 450 г",129.90,179.90
"Молоко ""Асеньевская ферма"", 3,4-6%, 1,4л",99.99,149.90
"Йогурт ""Коломенское молоко"" малина-груша 5%,170г",59.99,
"Масло ""Хуторок"" Крестьянское сладко-сливочное 72,5%, 180г",129.90,
"Мороженое ""Коровка из Кореновки"" со сгущенный молоком, рожок, 120г",99.99,
"Молоко ""Домик в деревне"" ультрапастеризованное 6% БЗМЖ, 950г",149.90,
"Творог рассыпчатый ""Минская марка"", 5%, 350г",147.90,
"Молоко пастеризованное ""Домик в деревне"" пастеризованное 2,5% БЗМЖ, 950г",74.99,
"Йогурт питьевой ""Хуторок"" со злаками, 1,5%, 260г",34.99,42.99
"Сметана ""РостАгроЭкспорт"", 15%, 280г",59.99,89.99
"Мороженое ""Русский холод"" Пломбир ванильный, рожок, 150г",119.90,
"Молоко ""Большая кружка"", ультрапастеризованное, 3,2%, 1450г",124.90,
"Молоко сгущенное ""Рогачевъ"" Егорка вареное с сахаром 8,5%, 360г",189.90,
"Хлеб пшеничный ""Harry's"", 470г",93.99,
"Ветчина ""Мясницкий ряд"" От шефа, 400г",159.90,289.90
"Молоко ""Хуторок"" пастеризованное 3,2-6%, 900мл",69.99,
"Колбаса ""Брянский МК"" Салями Финская сырокопченая, 300г",239.90,389.90
"Сосиски ""Владимирский стандарт"" Баварские с сыром, 420г",119.90,229.90
"Кофе ""Nescafe"" Gold растворимый сублимированный, 130г",589.90,
"Сосиски ""Мясной дом Бородина"" Молочные ГОСТ, 480г",249.90,359.90
Лимоны,108.90,
"Творог рассыпчатый ""Danke"", 9%, 350г",159.90,
"Сыр полутвердый ""Стародубский"" Тильзитер, 45%, 400г",179.90,389.90
"Сосиски ""ОМПК"" Богатырские, 400г",89.99,219.90
"Яйцо куриное столовое 1 категории, 10шт",68.99,
"Крупа гречневая ядрица, 900г",49.99,
"Фасоль красная ""Султан"", 700г",125.90,
Авокадо,389.90,
"Форель ""Санта Бремор"" филе-кусок, 200г",399.90,
"Напиток кисломолочный ""Exponenta"" High-Pro Дыня, 250мл",89.99,
"Колбаса ""ВелМит"" Фуэт, сыровяленая, 150г",149.90,249.90
"Молоко ультрапастеризованное 2,5% в ассортименте, 0,93/1л",53.39,
"Сыр ""Landers"" Сулугуни, 40%, 260г",159.90,229.90
"Креветки ""Санта Бремор"" в заливке, 180г",149.90,199.90
"Мясо мидии в масле ""Классик"", 180г",109.90,149.90
"Сельдь ""Балтийский Берег"" Атлантическая, филе-кусочки в майонезе, 200г",116.90,
"Открытка двойная ""ПП"" Код Б",66.99,
"Набор для ликвидации тараканов и муравьев ""Раптор"" Ловушки, 4 шт +Гель",329.90,
"Кассета фильтрующая ""Барьер"" Стандарт",359.90,
"Салфетка для пола ""Мой дом"", микрофибра, 50х60см",129.90,
"Пакет ""Дикси"" ПВД ВУР, 40х50см",13.49,
"Семена Зеленые витамины для кошек/собак, смесь, 10г",19.99,
"Семена Петуния Розовый леопард F1, 5шт",55.99,
"Пергамент для выпечки ""Big City Life"", 38 см x 5м",119.90,
"Семена Фасоль Масляный король, 5г",19.99,
"Семена Редис Слава, 3г",19.99,
"Семена Бархатцы Маленький герой, смесь, 0,2г",19.99,
"Семена Алиссум скальный Золотая волна, 0,1г",19.99,
"Щепа для копчения из ольхи ""Дача"", 250г",59.99,
Фломастеры пищевые в ассортименте,159.90,
"Удлинитель ""Эра"" UX-3-3m, без заземления",329.90,
"Салфетка ""Мой дом"", вискоза, 30х34 см, 7шт",69.99,
Семена Огурец Маша F1,55.99,
Семена Горох овощной Грибовский юбилейный,13.99,
"Семена Салат кочанный Кучерявец одесский, 1г",19.99,
"Семена Кориандр Силач, 3г",13.99,
"Щековина ""Золотой кабанчик"", копчено-вареная",399.90,
"Шпикачки ""Мясницкий ряд"" Каждому по вкусу, 630г",179.90,379.90
"Свинина тушеная ""Гродфуд"" 97,5% мяса, 338г",309.90,
"Колбаса ""Дымов"" Коньячная, сырокопченая, 230г",329.90,
"Говядина тушеная ""Семейный бюджет"", ГОСТ, 500г",269.90,
"Колбаса Велком Брауншвейгская, Велкомовская, Миланская, сырокопченая, нарезка, 90г",129.90,249.90
"Сало ""Востряково"" Белорусское, нарезка, 100г",129.90,
"Мясо цыпленка ""Потанино"" в собственном соку, 325г",69.99,99.99
"Ветчина ""Дружина""/""Мясоедов"" Домашняя, ГОСТ, 325г",124.90,149.90
"Колбаса ""Клинский МК"" Молочная,  вареная, 400г",179.90,369.90
"Колбаса ""Рублевский"" Телячья, вареная, 350г",369.90,
"Говядина тушеная ""Курганский"" стандарт, высший сорт, ГОСТ, 338г",179.90,
"Колбаса говяжья ""Царицыно"" Идель, полукопченая, 500г",119.90,199.90
"Сосиски ""Клинский МК"" Клинские, 460г",179.90,329.90
"Ветчина ""Главпродукт"" Для гурманов из свинины, ГОСТ, 325г",179.90,329.90
"Сосиски ""Стародворские колбасы"" Баварские с сыром, 420г",199.90,
"Колбаса ""Егорьевская"" Брауншвейгская сырокопченая в нарезке, 100г",99.99,219.90
"Колбаса ""Клинский МК"" Испанская сырокопченая, нарезка, 85г",89.99,149.90
"Сосиски ""Велком"" Докторские, 440г",199.90,347.40
"Свинина тушеная ""Семейный бюджет"" ГОСТ, 500г",239.90,
"Продукт питьевой ""J7"" Киви, яблоко, ананас, банан и манго, 0,3л",67.99,
"Вода минеральная ""Кубай"", газированная, 0,5л",19.99,
"Вода минеральная ""Ессентуки"", целебная, 1,5л",65.99,
"Холодный чай ""Lipton"" Лимон, 1,5л",129.90,
"Нектар ""Любимый"" Яблоко осветленный, 0,95л",79.99,
"Напиток сокосодержащий ""Любимый"" Яблоко-Черноплодная рябина-Клубника-Земляника, 0,95л",79.99,
"Сок ""Добрый"" Яблоко-виноград, 1л",139.90,
"Напиток безалкогольный ""Добрый"" Апельсин, с витамином С, газированный, 1л",87.99,
"Вода ""Новотерская"" целебная лечебно-столовая газированная, 0,5л",49.99,
"Нектар ""Rich"" вишневый осветленный, 1л",199.90,
"Сок ""Фруктовый Сад"" Яблоко осветленный, 0,95л",99.99,
"Кисель моментального приготовления ""Русский продукт"" Клубничный, 25г",16.99,
"Сок ""ФрутоKids"" Яблоко и вишня, осветленный, с 5месяцев",32.99,46.49
"Нектар ""Pro Sok"" Апельсин-манго, 2л",149.90,
"Сок ""J7"" Томат с солью с мякотью для детского питания, 0,97л",116.90,
"Вода ""Эдельвейс"" минеральная лечебно-столовая газированная, 1,5л",44.99,
"Напиток газированный ""Добрый"" Кола, 1,5л",89.99,109.90
"Напиток сокосодержащий ""Добрый"" Pulpy апельсин с мякотью, 0,45л",94.99,
"Нектар ""Rich"" манго-апельсин, 1л",147.90,
"Напиток безалкогольный ""Добрый"" Манго-маракуйя, газированный, 1,5л",89.99,109.90
"Шампиньоны И зимой и летом замороженные, 400г",79.99,149.90
ФАСОЛЬ HORTEX СТРУЧКОВАЯ РЕЗАНАЯ 400Г,149.90,
"Наггетсы Chikon Классические, 300г",79.99,154.90
"Овощная смесь ""Мираторг"" Сотэ с прованскими травами, замороженная, 400г",149.90,
"Ветчина ""Дружина""/""Мясоедов"" Домашняя, ГОСТ, 325г",124.90,149.90
"Молоко сгущенное ""Алексеевское"" с сахаром 8,5%, 270г",105.90,
"Говядина тушеная ""Курганский"" стандарт, высший сорт, ГОСТ, 338г",179.90,
"Овощные консервы ""Premiere of Taste"" Аппетит, 370г",99.99,
"Горошек ""Globus"" зеленый, 425мл",79.99,109.90
"Горошек зеленый ""Первым делом"", 400г",38.99,
"Горошек ""Bonduelle"" зеленый молодой, 425мл",173.90,
"Шампиньоны ""Lorado"", резаные, 425мл",109.90,
"Ветчина ""Главпродукт"" Для гурманов из свинины, ГОСТ, 325г",179.90,329.90
"Горошек ""Green Ray"" зеленый деликатесный, 400г",99.90,
"Грибы ""Хороший сезон"" Грузди соленые, 550мл",139.90,179.90
"Фасоль ""Heinz"" красная, 400г",119.90,
"Икра ""Угощение Славянки"" кабачковая, 545г",109.90,
"Кукуруза ""Green Ray"" Молочная, 340г",89.99,119.90
"Молоко сгущенное ""Рогачевъ"" с сахаром 8,5% ГОСТ, 280г",99.99,169.90
"Огурцы ""Первым Делом"" маринованные целые, 680г",93.99,
"Шпроты ""Барс"" копченые в масле ГОСТ, 175г",159.90,
"Огурцы ""Круглое лето"" соленые бочковые, 900г",139.90,
"Свинина тушеная ""Семейный бюджет"" ГОСТ, 500г",239.90,
"Баклажаны ""Овощная семейка""/""Круглое Лето"" По-домашнему, 510г",107.90,
"Хлопья Д ""Любимые Традиции"" Геркулес овсяные, 400г",46.90,
"Сухой завтрак ""Krosby"" Клубника и шоколад, 250г",109.90,174.90
"Хлопья овсяные ""Русский продукт"" Геркулес нежный, 450г",54.99,87.99
"Хлопья овсяные ""Русский продукт"" Геркулес традиционный, 500г",59.99,87.99
"Масло подсолнечное ""Слобода"" рафинированное дезодорированное с добавлением оливкового, 1л",149.90,
"Крахмал кукурузный ""Солнечный остров"", 200г",49.99,
"Масло подсолнечное ""Altero"" Almond с добавлением миндального, 810мл",139.90,199.90
"Кукурузные чипсы ""Cheetos"" Сыр, 85г",69.99,
"Заменитель сахара ""Milford"" Suss, 650таб.",189.90,
"Попкорн ""Cranpers"" для СВЧ с солью, 92г",45.99,
"Геркулес ""Русский продукт"" Монастырский овсяные хлопья, 500г",87.99,
"Крупа Д ""Зернышко к зернышку"" пшено шлифованное, 900г",84.99,
"Макаронные изделия ""Makfa"" Penne, без глютена, 300г",149.90,
"Путассу ""Мореслав"", соломка, 70г",89.99,
"Янтарная рыбка ""Мореслав"", соломка, с перцем, 70г",89.99,
"Масло ""Золотая семечка"" подсолнечное рафинированное, 1,8л",224.90,
"Кальмар ""Мореслав"", стружка, 35г",57.99,
"Хлопья ""Геркулес"" овсяные, 400г",14.99,
"Масло подсолнечное ""Слобода"" рафинированное, 1л",119.90,
"Чипсы кукурузные ""Mission"" Камчатский краб, 90г",69.99,
Икра мойвы Санта Бремор деликатесная в соусе с креветкой 180г,119.90,208.90
"Икра минтая соленая, 120г",49.99,86.99
"Масло ""Costa d'Oro"" Extra Virgin оливковое, 500мл",449.90,789.90
"Масло ""Costa d'Oro"" Extra Virgin виноградное, 500мл",399.90,699.90
"Салфетки ""Baby Boom"" влажные детские с экстрактом алоэ вера, 15шт",19.99,34.99
"Новогодний подарок Кондитер Кубани Рюкзак, 300г",229.90,399.90
"Подгузники-трусики ""Солнце и Луна"" Хлопок и лён, размер 4, 9-14 кг, 43шт",799.90,1399.90
"Халва ""Рот Фронт"" Дружба с арахисом, 250г",129.90,227.90
"Гель для стирки 2 в 1 ""Aroma Drop"" Aromatherapy Лаванда и ваниль, 1л",169.90,299.90
"Гель для стирки 2 в 1 ""Aroma Drop"" Aromatherapy Цветочный микс, 1л",169.90,299.90
"Гель для стирки 2 в 1 ""Aroma Drop"" Aromatherapy Жасмин и Ветивер, 1л",169.90,299.90
"Средство Unicum жироудалитель для стеклокерамики, 500мл",199.90,349.90
"Шоколад горький ""Россия - щедрая душа!"" Gold Selection с фундуком, 90г",79.99,139.90
"Шоколад молочный ""Россия - щедрая душа!"" Gold Selection с фундуком, 90г",79.99,139.90
"Конфеты ""Сладкий Орешек"" Марсианка",349.90,599.90
"Хлебцы ""Щедрые"" тонкие бородинские, 170г",79.99,136.90
"Конфеты ""Славянка"" Левушка",349.90,604.90
"Сыр ""Брест-Литовск"" Классический 45% в нарезке, 150г",109.90,189.90
"Вода ""Шишкин лес"" питьевая негазированная Cпорт, 0,4л",31.99,54.99
"Напиток ""Black Monster"" Energy The Doctor энергетический безалкогольный, 0,5л",89.99,154.90
"Пиво светлое ""Балтика"" Мягкое №7, 4,7%, с/б, 0,44л",54.99,
"Пиво светлое ""Балтика"" Мягкое №7, 4,7%, ж/б, 0,44л",54.99,
"Пиво светлое ""Otto von Schrodder"", 4,9%, ж/б, 0,5л",129.90,
"Пиво светлое ""Amstel"" Premium Pilsener, 4,8%, ж/б, 0,43л",56.99,
"Пиво светлое ""Krusovice"", 4,2%, с/б, 0,45л",56.99,
"Пиво светлое ""Bud"" Light, 4,1%, с/б, 0,44л",63.99,
"Пивной напиток ""Велкопоповицкий козел"", темный, 3,7%, ж/б, 0,45л",64.99,
"Пиво светлое ""Lowenbrau"" Original, 5,4%, с/б, 0,45л",62.99,
"Пиво светлое ""Thron"" Lager, 0,5л",129.90,
"Пиво барное ""Жигули"" Бархатное, 4,5%, с/б, 0,45л",55.99,
"Пиво светлое ""Bud"" 66, 4,3%, с/б, 0,44л",79.99,
"Пиво светлое ""Otto Von Schrodder"", нефильтрованное, 5%, ж/б, 0,5л",129.90,
"Пиво светлое ""Охота"" Крепкое, 8,1%, ж/б, 0,43л",56.99,
"Пивной напиток ""Старый мельник"" Из бочонка Бархатное, темное, 4,2%, 0,45л",62.99,
"Пивной напиток ""Велкопоповицкий козел"", темный, 3,7%, с/б, 0,45л",64.99,
"Пиво темное ""Золотая бочка"" Выдержанное, 8%, ж/б, 0,45л",57.99,
"Вино игристое ""San Romidio"" Кюве, белый брют, 0,75л",369.90,499.90
"Коньяк ""Армянский дворик"", 5лет, 40%, 0,5л",519.90,
"Напиток безалкогольный ""Abrau"" Light Zero, белое полусухое, 0,75л",199.90,329.90
"Коньяк ""MAP"" Армянский, 12 лет, 40%, 0,5л",599.90,749.90
"Хлебцы ""Magic Grain"" ржаные, семена льна, кунжута и подсолнечника, 160г",158.90,
"Конфеты ""Беловежская пуща"" с яблочным пюре",449.90,759.90
"Мороженое ""Чистая линия"" Эскимо Волшебный фонарь, 80г",59.99,139.90
"Мороженое ""Айсберри"" Филевский Пломбир ванильный, 450г",262.90,
"Мороженое ""Чистая линия"" Пломбир ванильный в рожке, 110г",89.99,138.90
"Батончик шоколадный ""Россия"" Good mix Duo с соленой карамелью, 44г",39.99,59.99
"Мороженое ""Настоящий пломбир"" Супергигант, в вафельном стаканчике, 150г",119.90,
"Батончик протеиновый ""Snaq Fabriq"" Арахис и карамель, 50г",79.99,99.99
"Шоколад ""Ritter Sport"" Малиновый десерт с розой, 100г",179.90,
"Пирожные заварные ""Этюд"", 270г",109.90,139.90
"Мороженое ""Monterra"" Кленовый сироп и грецкий орех, 480мл",299.90,699.90
"Батончик ""Хрутка"" Duo, 43г",34.99,49.99
"Мармелад ""Бон Пари"" Веселые Кошмарики жевательный, 75г",82.99,
"Батончик шоколадный ""Snickers"", 32г",29.99,39.99
"Чипсы кукурузно-рисовые ""Dr. Korner"" Корнерсы Паприка-чили, 50г",49.99,69.99
"Мармелад ""Семейные секреты"" с добавлением сока, 250г",99.99,
"Конфеты ""Ferrero Rocher"" с начинкой из крема и лесного ореха, 125г",349.90,474.40
"Мороженое ""Коровка из Кореновки"" со сгущенный молоком, рожок, 120г",99.99,
"Конфеты глазированные ""Теплый вечер""",249.90,
"Ирис ""Meller"" Соленая карамель, 38г",59.99,
"Шампиньоны маринованные ""Bonduelle"", целые, 500мл",229.90,329.90
"Горошек зеленый ""Bonduelle"", 425мл",109.90,
"Кукуруза ""Овощная семейка""/""Круглое Лето"" сладкая, 340г",62.99,
"Закуска ""Дядя Ваня"" Аджика по-аджарски, 460г",159.90,
"Томаты черри ""Овощная семейка""/""Круглое Лето"" Маринованные, 680мл",99.99,
"Ягода протертая ""Сибирская ягода"" Земляника, 280г",119.90,
"Горошек ""Heinz"" зеленый, 390г",89.99,109.90
"Икра кабачковая ""Овощная семейка""/""Круглое Лето"", 520г",99.99,
"Фасоль белая ""Круглое лето"", 400г",69.99,
Виноград светлый,289.90,
"Грибы ""Хороший сезон"" Шампиньоны резаные, 425мл",119.90,
"Огурцы ""Дядя Ваня"" По-берлински маринованные, 680г",269.90,
"Ягода протертая ""Сибирская ягода"" Брусника, 280г",119.90,
"Кукуруза ""Bonduelle"" Сладкая, 170г",95.99,
"Варенье ""Для внучат"" Абрикосовое, 340г",149.90,
Капуста цветная,149.90,
"Горошек ""6 соток"" зеленый, 425мл",109.90,
"Оливки зеленые ""ITLV"", без косточки, 195г",99.99,
Чеснок,249.90,
"Кукуруза ""Heinz"" сладкая, 340г",89.99,109.90
"Молоко низколактозное/безлактозное ""Село Зеленое"", ультрапастеризованное, 1,8%, 950мл",119.90,
"Молоко пастеризованное ""Домик в деревне"" 3,7% отборное, 1400мл",119.99,
"Мороженое ""Чистая Линия"" Семейное пломбир, 450г",299.90,479.90
"Молоко ""Северная долина"", ультрапастеризованное, 2,5%, 950г",69.99,84.99
"Молоко ""Му-у"", ультрапастеризованное, 2,5%, 925мл",79.99,
"Десерт ""Ehrmann"" Grand Dessert пудинг с белым шоколадом и клубникой 6%, 200г",93.99,
"Молоко сгущенное ""Рогачевъ"" с сахаром 8,5%, 380г",174.90,
"Творог ""Эго"", 9%, 200г",59.99,74.99
"Молоко ультрапастеризованное, 1,5%, 0,95/1л",53.99,
"Сметана ""Вкуснотеево"", 15%, 300 г",95.99,
"Яйцо куриное столовое 2 категории, 10шт",52.99,
"Масса творожная ""Хуторок"" с изюмом, 20%, 180г",69.99,
"Биойогурт ""Активиа"" Вишня, 2,9%, 130г",44.97,
"Сметана ""Минская марка"", 20%, 180г",64.99,
"Творог ""Хуторок"" мягкий 5%, 200г",59.99,
"Желе ""Растишка"" Вишня, 100г",39.99,
"Йогурт питьевой ""Хуторок"" с клубникой, 1,5%, 260г",34.99,42.99
"Мороженое ""Свитлогорье"" Золотая ириска, стаканчик, 15%, 105г",49.99,99.99
"Мороженое ""Айсберри"" Филевская Лакомка пломбир ванильный, 90г",69.98,
"Творог ""Кубанский молочник"" 5%, 180г",87.99,
"Сыр ""Сыробогатов"" Король сыров полутвердый с ароматом топленого молока 40%, 200г",189.90,
"Сыр ""Landers"" Сливочный 55%, 260г",169.90,229.90
"Ирис ""Яшкино"" с шоколадным вкусом, 140г",49.99,
"Томаты ""Первым Делом"" маринованные, 680г",75.99,
"Конфеты ""Lucky Days"" Желейные Ассорти",289.90,
"Крупа гречневая ""Пассим"" Алтайская, 800г",94.99,
"Икра баклажанная ""Ararat"" Домашняя, 460г",199.90,
"Сыр полутвердый ""Cheese Lovers"" Песто красный, нарезка, 50%, 150г",209.90,
"Конфеты ""Акконд"" Птица Дивная",799.90,
"Сырок творожный ""Хуторок"" Ваниль, 5%, 90г",39.99,
"Джем ""Mr.Ricco"" Клубника и вишня, 300г",119.90,
"Сыр твердый ""Palermo"", 6 месяцев, слайсы, 40%, 120г",199.90,
"Масло сливочное ""Вологодское лето"" Традиционное, 82,5%, 180г",189.90,
"Джем ""Mr.Ricco"" Абрикос, 300г",119.90,
"Мармелад ""Fruittella"" Том и Джерри/Манга Стартики, 10г",19.99,
"Печень минтая ""По-приморски"", 180г",119.90,
"Кефирный продукт ""Домик в деревне"" 1%, 900г",92.99,
"Крупа Д ""Зернышко к зернышку"" пшено шлифованное, 900г",84.99,
"Лапша быстрого приготовления ""Доширак"" со вкусом говядины, 90г",52.99,69.99
"Лапша быстрого приготовления ""Доширак"" со вкусом свинины, 90г",52.99,69.99
"Семена Астра Сердце Франции, 0,5г",19.99,
"Фольга для запекания ""Big City Life"", 10 м х 28см",129.90,
Семена Огурец Герман F1,55.99,
"Семена Базилик фиолетовый, 0,3г",19.99,
"Семена Космея Сенсация, смесь, 0,3г",19.99,
"Семена Томат Де Барао, розовый, 0,1г",19.99,
"Семена Петрушка листовая Богатырь, 2г",19.99,
"Семена Лобелия Император Вилли, 0,05г",19.99,
"Тетрадь в клетку ""Офисмаг"", А5, 48листов, в ассортименте",39.99,49.99
"Кассета рассадная, 9 ячеек, 10шт",59.99,129.90
"Семена Свекла столовая Цилиндра, 3г",19.99,
