name,price_cur,price_prev
"Икра трески ""5 Морей"" Атлантическая, стерилизованная, 160г",129.90,
"Тунец полосатый ""Магуро"", филе-кусочки в масле, 170г",169.90,
"Сардина ""Доброфлот"" Иваси тихоокеанская с добавлением масла, 245г",79.99,129.90
"Форель ""Санта Бремор"" филе-кусок, 200г",399.90,
"Креветка северная ""Borealis"", варено-мороженая, свежемороженая, 120/150, 750г",499.90,599.90
"Сардина ""Доброфлот"" Иваси в томатном соусе, 245г",129.90,
"Тунец ""Капитан вкусов"" Макрелевый натуральный, 240г",139.90,
"Икра палтуса ""Пробойная"" соленая, 100г",279.90,370.90
"Печень трески ""Капитан вкусов"", 115г",169.90,
"Икра лососевая ""Стольная"", имитация, 230г",109.90,
"Чай ""Greenfield"" Golden Ceylon черный в пакетиках, 25шт",144.90,
"Кофе растворимый ""Nescafe"" Gold, стеклянная банка, 95г",249.90,549.90
"Чай ""Richard"" Royal Ceylon черный в пакетиках, 25шт",147.90,
"Чай ""Richard"" Royal Ceylon черный листовой, 90г",169.90,
"Чай ""Richard"" Royal Ceylon черный в пакетиках, 100шт",429.90,
"Чай ""Richard"" Royal English Breakfast черный в пакетиках, 100г",429.90,
"Чай ""Принцесса Нури"" Высокогорный черный в пакетиках, 25шт",79.99,
"Чай ""Greenfield"" Kenyan Sunrise черный в пакетиках, 25шт",94.99,144.90
"Чай ""Greenfield"" Green Melissa зеленый с мелиссой в пакетиках, 25шт",94.99,144.90
"Чай ""Greenfield"" Kenyan Sunrise черный в пакетиках, 100шт",299.90,479.90
"Чай ""Greenfield"" Golden Ceylon цейлонский черный крупнолистовой, 100г",199.90,
"Чай ""Greenfield"" Golden Ceylon черный в пакетиках, 100шт",479.90,
"Кофе ""Nescafe"" Gold Barista молотый растворимый, 85г",599.90,
"Чай ""Tess"" Sunrise черный цейлонский, в пакетиках, 100x1,8г",249.90,399.90
"Чай ""Ahmad Tea"" Chinese Green зеленый в пакетиках, 25шт",84.99,
"Чай Greenfield Earl Grey Fantasy черный с бергамотом листовой, 100г",139.90,189.90
"Кофе растворимый Carte Noire, 95г",399.90,799.90
"Кофе ""Nescafe"" Gold растворимый сублимированный, 190г, стеклянная банка",979.90,
"Чай ""Greenfield"" Earl Grey Fantasy черный с бергамотом в пакетиках, 25шт",94.99,144.90
"Чай ""Greenfield"" Spring Melody черный в пакетиках, 25шт",144.90,
"Мороженое ""Maxiduo"" Страчателла, 92г",59.99,110.90
"Мороженое ""Milka"" эскимо сливочное с шоколадным соусом, 62г",140.90,
"Мороженое ""Коровка из Кореновки"" Пломбир, 400г",279.90,
"Мороженое ""Чистая линия"" Эскимо Малиновый кактус, 80г",89.99,151.90
"Мороженое ""Чистая линия"" Сахарная трубочка, 70г",102.90,
"Мороженое ""Чистая линия"" Эскимо кактус, 80г",89.99,169.90
"Мороженое ""Коровка из Кореновки"" Пломбир шоколадный 15%, 100г",63.99,
"Мороженое ""Коровка из Кореновки"" Пломбир с шоколадной крошкой 15%, 400г",309.90,
"Мороженое ""Коровка из Кореновки"" Пломбир Крем-брюле, 100г",61.99,
